id,datetime,upserted_rows
43929,1712817335975,0
43930,1712817635986,0
43931,1712817935973,0
43932,1712818235857,0
43933,1712818535976,0
43934,1712818835977,0
43935,1712819135986,0
43936,1712819435967,0
43937,1712819735976,0
43938,1712820035988,0
43939,1712820335989,0
43940,1712820635982,0
43941,1712820935971,0
43942,1712821236084,0
43943,1712821536329,0
43944,1712821835982,0
43945,1712822135977,0
43946,1712822436069,0
43947,1712822735853,0
43948,1712823035980,0
43949,1712823335980,0
43950,1712823635985,0
43951,1712823935973,0
43952,1712824236039,0
43953,1712824535989,0
43954,1712824835970,0
43955,1712825135984,0
43956,1712825435986,0
43957,1712825736105,0
43958,1712826036116,0
43959,1712826336311,0
43960,1712826636141,0
43961,1712826935982,0
43962,1712827236103,0
43963,1712827536227,0
43964,1712827836097,0
43965,1712828136112,0
43966,1712828435974,0
43967,1712828736106,0
43968,1712829036099,0
43969,1712829336093,0
43970,1712829636112,0
43971,1712829936092,0
43972,1712830236113,0
43973,1712830536107,0
43974,1712830836096,0
43975,1712831136109,0
43976,1712831435978,0
43977,1712831735984,0
43978,1712832035976,0
43979,1712832336098,0
43980,1712832635977,0
43981,1712832935997,0
43982,1712833235969,0
43983,1712833535983,0
43984,1712833835989,0
43985,1712834135970,0
43986,1712834435987,0
43987,1712834735977,0
43988,1712835035978,0
43989,1712835335985,0
43990,1712835635962,0
43991,1712835935980,0
43992,1712836235988,0
43993,1712836535991,0
43994,1712836835978,0
43995,1712837135991,0
43996,1712837435982,0
43997,1712837735977,0
43998,1712838035973,0
43999,1712838336096,0
44000,1712838635860,0
44001,1712838935975,0
44002,1712839235975,0
44003,1712839535976,0
44004,1712839835968,0
44005,1712840135979,0
44006,1712840435981,0
44007,1712840735975,0
44008,1712841035976,0
44009,1712841335976,0
44010,1712841635977,0
44011,1712841935970,0
44012,1712842235975,0
44013,1712842535983,0
44014,1712842835982,0
44015,1712843135979,0
44016,1712843435856,0
44017,1712843735986,0
44018,1712844035972,0
44019,1712844335993,0
44020,1712844635989,0
44021,1712844935968,0
44022,1712845235987,0
44023,1712845535962,0
44024,1712845835980,0
44025,1712846135977,0
44026,1712846435974,0
44027,1712846735985,0
44028,1712847035986,0
44029,1712847335969,0
44030,1712847635861,0
44031,1712847935974,0
44032,1712848236000,0
44033,1712848535992,0
44034,1712848835976,0
44035,1712849135856,0
44036,1712849435978,0
44037,1712849735986,0
44038,1712850035983,0
44039,1712850335965,0
44040,1712850635980,0
44041,1712850935979,0
44042,1712851235986,0
44043,1712851535983,0
44044,1712851835969,0
44045,1712852135982,0
44046,1712852435974,0
44047,1712852735978,0
44048,1712853035968,0
44049,1712853336150,0
44050,1712853635985,0
44051,1712853936014,0
44052,1712854236156,0
44053,1712854535981,0
44054,1712854836067,0
44055,1712855135969,0
44056,1712855436081,0
44057,1712855735980,0
44058,1712856035979,0
44059,1712856335973,0
44060,1712856635977,0
44061,1712856935979,0
44062,1712857235982,0
44063,1712857535970,0
44064,1712857835864,0
44065,1712858135979,0
44066,1712858435981,0
44067,1712858735976,0
44068,1712859035981,0
44069,1712859335851,0
44070,1712859635988,0
44071,1712859935985,0
44072,1712860235982,0
44073,1712860535978,0
44074,1712860835983,0
44075,1712861135991,0
44076,1712861435983,0
44077,1712861735981,0
44078,1712862035984,0
44079,1712862335980,0
44080,1712862635985,0
44081,1712862935972,0
44082,1712863235986,0
44083,1712863535982,0
44084,1712863835979,0
44085,1712864135973,0
44086,1712864435986,0
44087,1712864735977,0
44088,1712865035963,0
44089,1712865335989,0
44090,1712865635978,0
44091,1712865935979,0
44092,1712866235965,0
44093,1712866535956,0
44094,1712866835984,0
44095,1712867135993,0
44096,1712867435987,0
44097,1712867735983,0
44098,1712868035994,0
44099,1712868335981,0
44100,1712868635984,0
44101,1712868935985,0
44102,1712869235973,0
44103,1712869535849,0
44104,1712869835976,0
44105,1712870135979,0
44106,1712870435979,0
44107,1712870735983,0
44108,1712871035975,0
44109,1712871335969,0
44110,1712871635983,0
44111,1712871936166,0
44112,1712872235967,0
44113,1712872535971,0
44114,1712872835977,0
44115,1712873135983,0
44116,1712873435974,0
44117,1712873735993,0
44118,1712874035989,0
44119,1712874335982,0
44120,1712874635970,0
44121,1712874935980,0
44122,1712875235974,0
44123,1712875535980,0
44124,1712875835983,0
44125,1712876135980,0
44126,1712876435962,0
44127,1712876735974,0
44128,1712877035974,0
44129,1712877335967,0
44130,1712877635995,0
44131,1712877935980,0
44132,1712878235975,0
44133,1712878535855,0
44134,1712878835972,0
44135,1712879135974,0
44136,1712879435987,0
44137,1712879735856,0
44138,1712880035977,0
44139,1712880335966,0
44140,1712880635976,0
44141,1712880935982,0
44142,1712881236180,0
44143,1712881535985,0
44144,1712881835983,0
44145,1712882135981,0
44146,1712882435981,0
44147,1712882735979,0
44148,1712883035983,0
44149,1712883335974,0
44150,1712883635985,0
44151,1712883936089,0
44152,1712884235990,0
44153,1712884535987,0
44154,1712884835995,0
44155,1712885135976,0
44156,1712885435973,0
44157,1712885735960,0
44158,1712886036001,0
44159,1712886335983,0
44160,1712886635975,0
44161,1712886935981,0
44162,1712887235931,1
44163,1712887535955,0
44164,1712887835977,0
44165,1712888135988,0
44166,1712888435971,0
44167,1712888736019,0
44168,1712889035966,0
44169,1712889335976,0
44170,1712889635965,0
44171,1712889935855,0
44172,1712890235956,0
44173,1712890536048,0
44174,1712890835967,0
44175,1712891135968,0
44176,1712891435959,0
44177,1712891735963,0
44178,1712892035981,0
44179,1712892335968,0
44180,1712892635954,0
44181,1712892935975,0
44182,1712893235973,0
44183,1712893535967,0
44184,1712893835960,0
44185,1712894135970,0
44186,1712894435994,0
44187,1712894735977,0
44188,1712895035969,0
44189,1712895335969,0
44190,1712895635967,0
44191,1712895935955,0
44192,1712896235976,0
44193,1712896535972,0
44194,1712896835968,0
44195,1712897136147,0
44196,1712897435974,0
44197,1712897735967,0
44198,1712898035963,0
44199,1712898335971,0
44200,1712898636075,0
44201,1712898935843,0
44202,1712899235962,0
44203,1712899536041,0
44204,1712899835969,0
44205,1712900135882,0
44206,1712900435893,0
44207,1712900736041,0
44208,1712901036011,0
44209,1712901335977,0
44210,1712901635980,0
44211,1712901935971,0
44212,1712902235970,0
44213,1712902535967,0
